iteration	examples	loss
1	162	1.2236
1	269	1.9259
2	370	1.6674
3	461	1.1426
4	525	0.6516
5	573	0.4466
1	813	0.3737
2	861	0.3522
3	909	0.3374
4	957	0.3222
5	1005	0.3096
1	1101	0.2798
2	1149	0.27
3	1197	0.2614
4	1245	0.2534
5	1293	0.2458
1	1341	0.2388
2	1389	0.2321
3	1437	0.2258
4	1485	0.2199
5	1533	0.2142
1	1581	0.2088
2	1629	0.2037
3	1677	0.1989
4	1725	0.1942
5	1773	0.1899
1	1821	0.1856
2	1869	0.1816
3	1917	0.1778
4	1965	0.1741
5	2013	0.1706
1	2061	0.1672
2	2109	0.164
3	2157	0.1609
4	2205	0.1579
5	2253	0.155
1	2301	0.1522
2	2349	0.1495
3	2397	0.147
4	2445	0.1445
5	2493	0.1421
1	2541	0.1398
2	2589	0.1376
3	2637	0.1354
4	2685	0.1333
5	2733	0.1313
1	2781	0.1293
2	2829	0.1274
3	2877	0.1257
4	2925	0.1238
5	2973	0.1221
1	3021	0.1203
2	3069	0.1187
3	3117	0.1171
4	3165	0.1155
5	3213	0.114
1	3261	0.1126
2	3309	0.1112
3	3357	0.1097
4	3405	0.1084
5	3453	0.107
1	3501	0.1057
2	3549	0.1045
3	3597	0.1033
4	3645	0.102
5	3693	0.1009
1	3741	0.0997
2	3789	0.0986
3	3837	0.0975
4	3885	0.0965
5	3933	0.0954
1	3981	0.0944
2	4029	0.0934
3	4077	0.0925
4	4125	0.0915
5	4173	0.0905
1	4221	0.0896
2	4269	0.0887
3	4317	0.0878
1	4509	0.085
2	4557	0.084
3	4605	0.0832
4	4653	0.0824
5	4701	0.0816
